sku,title_pt,category,subcategory,description_pt_2lines,price_low_brl,price_median_brl,price_high_brl,margin_pct_suggested,tags_pt,photo_url_1,photo_url_2,photo_url_3,thumbnail_url,source_product_link,source_marketplace_hint,source_lang,shipping_weight_g,shipping_length_cm,shipping_width_cm,shipping_height_cm,compatibility_notes,cross_sell_sku_1,cross_sell_sku_2,pricing_strategy_notes
COL-001,"Mini Estátua Colecionável Jett Valorant Edição Decor para Estante, Mesa e Setup",Colecionáveis/Merch,Mini estátua,Colecionável com alto apelo visual para estante e setup. Excelente para fãs que buscam peça de destaque e presente premium.,62.4,122.9,253.65,55,"colecionável,valorant,estátua,setup,presente",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,420,28,20,9,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,COL-002,DEC-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
COL-002,"Caneca Colecionável Reyna Valorant Nerd Premium para Café, Desk e Presente",Colecionáveis/Merch,Caneca,"Produto clássico de alto giro no e-commerce geek, ótimo para bundles e presentes. Une utilidade, coleção e forte apelo visual.",64.9,125.9,257.4,55,"caneca,valorant,colecionável,nerd,presente",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,420,28,20,9,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,COL-003,DEC-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
COL-003,Mousepad Colecionável Sage Valorant Desk Mat Gamer para Setup Profissional,Colecionáveis/Merch,Mousepad/desk mat,Desk mat com alta demanda no nicho gamer e grande apelo para setup. Produto com boa percepção de valor e excelente conversão visual.,67.4,128.9,261.15,55,"mousepad,desk mat,valorant,setup,gamer",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,420,28,20,9,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,COL-004,DEC-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
COL-004,"Poster Premium Omen Valorant Colecionável para Parede, Estúdio e Espaço Geek",Colecionáveis/Merch,Poster,Poster de decoração colecionável para fãs de Valorant. Excelente item para ticket médio complementar e kits temáticos.,69.9,131.9,264.9,55,"poster,valorant,colecionável,parede,geek",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,420,28,20,9,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,COL-001,DEC-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
COL-005,"Mini Estátua Colecionável Ahri League of Legends Edição Decor para Estante, Mesa e Setup",Colecionáveis/Merch,Mini estátua,Colecionável com alto apelo visual para estante e setup. Excelente para fãs que buscam peça de destaque e presente premium.,59.9,119.9,249.9,55,"colecionável,league of legends,estátua,setup,presente",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,420,28,20,9,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,COL-006,DEC-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
COL-006,"Caneca Colecionável Yasuo League of Legends Nerd Premium para Café, Desk e Presente",Colecionáveis/Merch,Caneca,"Produto clássico de alto giro no e-commerce geek, ótimo para bundles e presentes. Une utilidade, coleção e forte apelo visual.",62.4,122.9,253.65,55,"caneca,league of legends,colecionável,nerd,presente",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,420,28,20,9,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,COL-007,DEC-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
COL-007,Mousepad Colecionável Jinx League of Legends Desk Mat Gamer para Setup Profissional,Colecionáveis/Merch,Mousepad/desk mat,Desk mat com alta demanda no nicho gamer e grande apelo para setup. Produto com boa percepção de valor e excelente conversão visual.,64.9,125.9,257.4,55,"mousepad,desk mat,league of legends,setup,gamer",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,420,28,20,9,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,COL-008,DEC-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
COL-008,"Poster Premium Lux League of Legends Colecionável para Parede, Estúdio e Espaço Geek",Colecionáveis/Merch,Poster,Poster de decoração colecionável para fãs de League of Legends. Excelente item para ticket médio complementar e kits temáticos.,67.4,128.9,261.15,55,"poster,league of legends,colecionável,parede,geek",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,420,28,20,9,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,COL-005,DEC-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
COL-009,"Mini Estátua Colecionável Ghost Call of Duty Edição Decor para Estante, Mesa e Setup",Colecionáveis/Merch,Mini estátua,Colecionável com alto apelo visual para estante e setup. Excelente para fãs que buscam peça de destaque e presente premium.,69.9,131.9,264.9,55,"colecionável,call of duty,estátua,setup,presente",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,420,28,20,9,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,COL-010,DEC-009,Exibir preço PIX + bundle com 2 unidades ou kit presente.
COL-010,"Caneca Colecionável Soap Call of Duty Nerd Premium para Café, Desk e Presente",Colecionáveis/Merch,Caneca,"Produto clássico de alto giro no e-commerce geek, ótimo para bundles e presentes. Une utilidade, coleção e forte apelo visual.",59.9,119.9,249.9,55,"caneca,call of duty,colecionável,nerd,presente",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,420,28,20,9,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,COL-011,DEC-009,Exibir preço PIX + bundle com 2 unidades ou kit presente.
