sku,title_pt,category,subcategory,description_pt_2lines,price_low_brl,price_median_brl,price_high_brl,margin_pct_suggested,tags_pt,photo_url_1,photo_url_2,photo_url_3,thumbnail_url,source_product_link,source_marketplace_hint,source_lang,shipping_weight_g,shipping_length_cm,shipping_width_cm,shipping_height_cm,compatibility_notes,cross_sell_sku_1,cross_sell_sku_2,pricing_strategy_notes
CHA-001,"Chaveiro Acrílico Premium Jett Valorant Dupla Face para Mochila, Chaves e Setup Gamer",Chaveiros,Chaveiro acrílico 2D,"Chaveiro leve e colecionável com visual premium para fãs de Valorant. Ideal para presente, mochila, estojo e chave do dia a dia.",22.4,32.9,43.65,68,"chaveiro,valorant,gamer,nerd,presente",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,60,8,5,2,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,CHA-002,COL-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
CHA-002,Chaveiro Emborrachado Reyna Valorant Estilo Gamer Resistente para Chaves e Mochila,Chaveiros,Chaveiro emborrachado PVC,Modelo resistente com acabamento emborrachado e apelo gamer forte. Excelente ticket de entrada para venda por impulso.,24.9,35.9,47.4,68,"chaveiro,pvc,valorant,colecionável,gamer",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,60,8,5,2,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,CHA-003,COL-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
CHA-003,Chaveiro Metalizado Sage Valorant Edição Nerd para Coleção e Presente Criativo,Chaveiros,Chaveiro metalizado,Peça com visual premium e ótima percepção de valor para fãs de Valorant. Ideal para kits de presente e combos sazonais.,27.4,38.9,51.15,68,"chaveiro,metal,valorant,presente,coleção",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,60,8,5,2,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,CHA-004,COL-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
CHA-004,Chaveiro 3D Omen Valorant Mini Pingente Decorativo para Mochila e Setup,Chaveiros,Chaveiro 3D,Chaveiro com estilo 3D e identidade visual marcante. Ótimo para público gamer e nerd com alta compra por afinidade.,29.9,41.9,54.9,68,"chaveiro,3d,valorant,mochila,setup",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,60,8,5,2,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,CHA-001,COL-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
CHA-005,"Chaveiro Acrílico Premium Ahri League of Legends Dupla Face para Mochila, Chaves e Setup Gamer",Chaveiros,Chaveiro acrílico 2D,"Chaveiro leve e colecionável com visual premium para fãs de League of Legends. Ideal para presente, mochila, estojo e chave do dia a dia.",19.9,29.9,39.9,68,"chaveiro,league of legends,gamer,nerd,presente",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,60,8,5,2,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,CHA-006,COL-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
CHA-006,Chaveiro Emborrachado Yasuo League of Legends Estilo Gamer Resistente para Chaves e Mochila,Chaveiros,Chaveiro emborrachado PVC,Modelo resistente com acabamento emborrachado e apelo gamer forte. Excelente ticket de entrada para venda por impulso.,22.4,32.9,43.65,68,"chaveiro,pvc,league of legends,colecionável,gamer",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,60,8,5,2,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,CHA-007,COL-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
CHA-007,Chaveiro Metalizado Jinx League of Legends Edição Nerd para Coleção e Presente Criativo,Chaveiros,Chaveiro metalizado,Peça com visual premium e ótima percepção de valor para fãs de League of Legends. Ideal para kits de presente e combos sazonais.,24.9,35.9,47.4,68,"chaveiro,metal,league of legends,presente,coleção",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,60,8,5,2,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,CHA-008,COL-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
CHA-008,Chaveiro 3D Lux League of Legends Mini Pingente Decorativo para Mochila e Setup,Chaveiros,Chaveiro 3D,Chaveiro com estilo 3D e identidade visual marcante. Ótimo para público gamer e nerd com alta compra por afinidade.,27.4,38.9,51.15,68,"chaveiro,3d,league of legends,mochila,setup",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,60,8,5,2,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,CHA-005,COL-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
CHA-009,"Chaveiro Acrílico Premium Ghost Call of Duty Dupla Face para Mochila, Chaves e Setup Gamer",Chaveiros,Chaveiro acrílico 2D,"Chaveiro leve e colecionável com visual premium para fãs de Call of Duty. Ideal para presente, mochila, estojo e chave do dia a dia.",29.9,41.9,54.9,68,"chaveiro,call of duty,gamer,nerd,presente",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,60,8,5,2,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,CHA-010,COL-009,Exibir preço PIX + bundle com 2 unidades ou kit presente.
CHA-010,Chaveiro Emborrachado Soap Call of Duty Estilo Gamer Resistente para Chaves e Mochila,Chaveiros,Chaveiro emborrachado PVC,Modelo resistente com acabamento emborrachado e apelo gamer forte. Excelente ticket de entrada para venda por impulso.,19.9,29.9,39.9,68,"chaveiro,pvc,call of duty,colecionável,gamer",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,60,8,5,2,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,CHA-011,COL-009,Exibir preço PIX + bundle com 2 unidades ou kit presente.
