sku,title_pt,category,subcategory,description_pt_2lines,price_low_brl,price_median_brl,price_high_brl,margin_pct_suggested,tags_pt,photo_url_1,photo_url_2,photo_url_3,thumbnail_url,source_product_link,source_marketplace_hint,source_lang,shipping_weight_g,shipping_length_cm,shipping_width_cm,shipping_height_cm,compatibility_notes,cross_sell_sku_1,cross_sell_sku_2,pricing_strategy_notes
DEC-001,"Luminária Decorativa Jett Valorant LED para Quarto Gamer, Mesa e Setup Nerd",Decoração,Luminária/LED,Peça decorativa com apelo visual forte para quarto gamer e setup. Excelente para presentes e conteúdo visual em redes sociais.,52.4,92.9,153.65,62,"decoração,led,valorant,setup,quarto gamer",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-002,COL-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-002,Quadro Decorativo Reyna Valorant Premium para Parede de Quarto Gamer e Home Office,Decoração,Quadro,Quadro com alta percepção de valor para ambientes gamers e nerds. Produto fácil de vender com forte apelo visual e margem saudável.,54.9,95.9,157.4,62,"quadro,decoração,valorant,nerd,gamer",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-003,COL-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-003,"Almofada Decorativa Sage Valorant para Sofá, Cama e Espaço Geek",Decoração,Almofada,Item de decoração e conforto com boa saída em datas comemorativas. Perfeito para kits de quarto geek e presentes criativos.,57.4,98.9,161.15,62,"almofada,decoração,valorant,geek,presente",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-004,COL-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-004,"Placa Decorativa Omen Valorant Estilo Geek para Porta, Parede e Setup",Decoração,Placa decorativa,"Placa temática com forte apelo para fãs de Valorant. Boa opção para venda unitária, upsell e montagem de kits decorativos.",59.9,101.9,164.9,62,"placa decorativa,valorant,setup,quarto,nerd",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-001,COL-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-005,"Luminária Decorativa Ahri League of Legends LED para Quarto Gamer, Mesa e Setup Nerd",Decoração,Luminária/LED,Peça decorativa com apelo visual forte para quarto gamer e setup. Excelente para presentes e conteúdo visual em redes sociais.,49.9,89.9,149.9,62,"decoração,led,league of legends,setup,quarto gamer",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-006,COL-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-006,Quadro Decorativo Yasuo League of Legends Premium para Parede de Quarto Gamer e Home Office,Decoração,Quadro,Quadro com alta percepção de valor para ambientes gamers e nerds. Produto fácil de vender com forte apelo visual e margem saudável.,52.4,92.9,153.65,62,"quadro,decoração,league of legends,nerd,gamer",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-007,COL-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-007,"Almofada Decorativa Jinx League of Legends para Sofá, Cama e Espaço Geek",Decoração,Almofada,Item de decoração e conforto com boa saída em datas comemorativas. Perfeito para kits de quarto geek e presentes criativos.,54.9,95.9,157.4,62,"almofada,decoração,league of legends,geek,presente",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-008,COL-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-008,"Placa Decorativa Lux League of Legends Estilo Geek para Porta, Parede e Setup",Decoração,Placa decorativa,"Placa temática com forte apelo para fãs de League of Legends. Boa opção para venda unitária, upsell e montagem de kits decorativos.",57.4,98.9,161.15,62,"placa decorativa,league of legends,setup,quarto,nerd",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-005,COL-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-009,"Luminária Decorativa Ghost Call of Duty LED para Quarto Gamer, Mesa e Setup Nerd",Decoração,Luminária/LED,Peça decorativa com apelo visual forte para quarto gamer e setup. Excelente para presentes e conteúdo visual em redes sociais.,59.9,101.9,164.9,62,"decoração,led,call of duty,setup,quarto gamer",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-010,COL-009,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-010,Quadro Decorativo Soap Call of Duty Premium para Parede de Quarto Gamer e Home Office,Decoração,Quadro,Quadro com alta percepção de valor para ambientes gamers e nerds. Produto fácil de vender com forte apelo visual e margem saudável.,49.9,89.9,149.9,62,"quadro,decoração,call of duty,nerd,gamer",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-011,COL-009,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-011,"Almofada Decorativa Task Force Call of Duty para Sofá, Cama e Espaço Geek",Decoração,Almofada,Item de decoração e conforto com boa saída em datas comemorativas. Perfeito para kits de quarto geek e presentes criativos.,52.4,92.9,153.65,62,"almofada,decoração,call of duty,geek,presente",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-012,COL-009,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-012,"Placa Decorativa Warzone Call of Duty Estilo Geek para Porta, Parede e Setup",Decoração,Placa decorativa,"Placa temática com forte apelo para fãs de Call of Duty. Boa opção para venda unitária, upsell e montagem de kits decorativos.",54.9,95.9,157.4,62,"placa decorativa,call of duty,setup,quarto,nerd",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-009,COL-009,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-013,"Luminária Decorativa Creeper Minecraft LED para Quarto Gamer, Mesa e Setup Nerd",Decoração,Luminária/LED,Peça decorativa com apelo visual forte para quarto gamer e setup. Excelente para presentes e conteúdo visual em redes sociais.,57.4,98.9,161.15,62,"decoração,led,minecraft,setup,quarto gamer",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-014,COL-013,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-014,Quadro Decorativo Steve Minecraft Premium para Parede de Quarto Gamer e Home Office,Decoração,Quadro,Quadro com alta percepção de valor para ambientes gamers e nerds. Produto fácil de vender com forte apelo visual e margem saudável.,59.9,101.9,164.9,62,"quadro,decoração,minecraft,nerd,gamer",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-015,COL-013,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-015,"Almofada Decorativa Alex Minecraft para Sofá, Cama e Espaço Geek",Decoração,Almofada,Item de decoração e conforto com boa saída em datas comemorativas. Perfeito para kits de quarto geek e presentes criativos.,49.9,89.9,149.9,62,"almofada,decoração,minecraft,geek,presente",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-016,COL-013,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-016,"Placa Decorativa Enderman Minecraft Estilo Geek para Porta, Parede e Setup",Decoração,Placa decorativa,"Placa temática com forte apelo para fãs de Minecraft. Boa opção para venda unitária, upsell e montagem de kits decorativos.",52.4,92.9,153.65,62,"placa decorativa,minecraft,setup,quarto,nerd",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-013,COL-013,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-017,"Luminária Decorativa Lhama Fortnite LED para Quarto Gamer, Mesa e Setup Nerd",Decoração,Luminária/LED,Peça decorativa com apelo visual forte para quarto gamer e setup. Excelente para presentes e conteúdo visual em redes sociais.,54.9,95.9,157.4,62,"decoração,led,fortnite,setup,quarto gamer",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-018,COL-017,Exibir preço PIX + bundle com 2 unidades ou kit presente.
DEC-018,Quadro Decorativo Battle Royale Fortnite Premium para Parede de Quarto Gamer e Home Office,Decoração,Quadro,Quadro com alta percepção de valor para ambientes gamers e nerds. Produto fácil de vender com forte apelo visual e margem saudável.,57.4,98.9,161.15,62,"quadro,decoração,fortnite,nerd,gamer",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,350,25,18,8,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,DEC-019,COL-017,Exibir preço PIX + bundle com 2 unidades ou kit presente.
