Identificador URL;Nome;Categorias;Nome da variação 1;Valor da variação 1;Nome da variação 2;Valor da variação 2;Nome da variação 3;Valor da variação 3;Preço;Preço promocional;Peso (kg);Altura (cm);Largura (cm);Comprimento (cm);Estoque;SKU;Código de barras;Exibir na loja;Frete gratis;Descrição;Tags;Título para SEO;Descrição para SEO;Marca;Produto Físico;MPN (Cód. Exclusivo Modelo Fabricante);Sexo;Faixa etária;Custo
chaveiro-personalizado;Chaveiro Personalizado;Chaveiros e Acessórios;Material;PLA Premium;Cor;Sob consulta;Prazo;24h a 48h;7.49;;;;;;10;MDH3D-0001;;SIM;NÃO;<p><strong>Chaveiro Personalizado</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Chaveiros e Acessórios</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 24h a 48h. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, chaveiro,personalizado,presente,brinde,entrada;Chaveiro Personalizado | Impressão 3D MDH3D;Chaveiro Personalizado em impressão 3D pela MDH3D. Produto físico sob encomenda em Chaveiros e Acessórios, com produção local no RJ e prazo de 24h a 48h.;MDH3D;SIM;MDH3D-0001;;;
tag-para-pet-compacto-para-rotina-do-pet;Tag para Pet Compacto para rotina do pet;Chaveiros e Acessórios;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;5.66;;;;;;10;MDH3D-0002;;SIM;NÃO;<p><strong>Tag para Pet Compacto para rotina do pet</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Chaveiros e Acessórios</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, pet,identificacao,chaveiro,brinde;Tag para Pet Compacto para rotina do pet | Impressão 3D MDH3D;Tag para Pet Compacto para rotina do pet em impressão 3D pela MDH3D. Produto físico sob encomenda em Chaveiros e Acessórios, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0002;;;
suporte-para-celular;Suporte para Celular;Setup Gamer e Home Office;Material;PLA Premium;Cor;Sob consulta;Prazo;24h a 48h;7.49;;;;;;10;MDH3D-0003;;SIM;NÃO;<p><strong>Suporte para Celular</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Setup Gamer e Home Office</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 24h a 48h. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, setup,celular,mesa,organizador;Suporte para Celular | Impressão 3D MDH3D;Suporte para Celular em impressão 3D pela MDH3D. Produto físico sob encomenda em Setup Gamer e Home Office, com produção local no RJ e prazo de 24h a 48h.;MDH3D;SIM;MDH3D-0003;;;
organizador-de-cabo-usb;Organizador de Cabo USB;Setup Gamer e Home Office;Material;PLA Premium;Cor;Sob consulta;Prazo;24h a 48h;7.49;;;;;;10;MDH3D-0004;;SIM;NÃO;<p><strong>Organizador de Cabo USB</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Setup Gamer e Home Office</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 24h a 48h. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, cabos,usb,setup,organizacao;Organizador de Cabo USB | Impressão 3D MDH3D;Organizador de Cabo USB em impressão 3D pela MDH3D. Produto físico sob encomenda em Setup Gamer e Home Office, com produção local no RJ e prazo de 24h a 48h.;MDH3D;SIM;MDH3D-0004;;;
porta-creme-dental-de-bancada;Porta Creme Dental de Bancada;Casa e Organização;Material;PLA Premium;Cor;Sob consulta;Prazo;2 a 4 dias;9.32;;;;;;10;MDH3D-0005;;SIM;NÃO;<p><strong>Porta Creme Dental de Bancada</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Casa e Organização</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 2 a 4 dias. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, banheiro,bancada,organizador,casa;Porta Creme Dental de Bancada | Impressão 3D MDH3D;Porta Creme Dental de Bancada em impressão 3D pela MDH3D. Produto físico sob encomenda em Casa e Organização, com produção local no RJ e prazo de 2 a 4 dias.;MDH3D;SIM;MDH3D-0005;;;
caneca-colecionavel-reyna-valorant-nerd-premium-para-cafe-desk-e-presente;Caneca Colecionável Reyna Valorant Nerd Premium para Café, Desk e Presente;Geek & Colecionáveis;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 7 dias;38.72;;;;;;10;MDH3D-0006;;SIM;NÃO;"<p><strong>Caneca Colecionável Reyna Valorant Nerd Premium para Café, Desk e Presente</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Geek &amp; Colecionáveis</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 7 dias. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>";MDH3D, impressão 3D, PLA Premium, produção local RJ, geek,cafe,presente,colecionavel;Caneca Colecionável Reyna Valorant Nerd Premium para Café, Desk e Presente | Impressão 3D MDH3D;Caneca Colecionável Reyna Valorant Nerd Premium para Café, Desk e Presente em impressão 3D pela MDH3D. Produto físico sob encomenda em Geek & Colecionáveis, com produção local no RJ e prazo de 3 a 7 dias.;MDH3D;SIM;MDH3D-0006;;;
suporte-para-controle-ps5;Suporte para Controle PS5;Setup Gamer e Home Office;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;10.25;;0.060;6;8;12;10;MDH-0017;;SIM;NÃO;<p><strong>Suporte para Controle PS5</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Setup Gamer e Home Office</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, ps5,controle,setup,gamer,suporte;Suporte para Controle PS5 | Impressão 3D MDH3D;Suporte para Controle PS5 em impressão 3D pela MDH3D. Produto físico sob encomenda em Setup Gamer e Home Office, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH-0017;;;
porta-copos-geek;Porta-Copos Geek;Setup Gamer e Home Office;Material;PLA Premium;Cor;Sob consulta;Prazo;24h a 48h;7.49;;;;;;10;MDH3D-0008;;SIM;NÃO;<p><strong>Porta-Copos Geek</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Setup Gamer e Home Office</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 24h a 48h. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, porta-copos,geek,setup,presente;Porta-Copos Geek | Impressão 3D MDH3D;Porta-Copos Geek em impressão 3D pela MDH3D. Produto físico sob encomenda em Setup Gamer e Home Office, com produção local no RJ e prazo de 24h a 48h.;MDH3D;SIM;MDH3D-0008;;;
familia-customizada-em-miniatura;Família Customizada em Miniatura;Presentes Personalizados;Material;PLA Premium;Cor;Sob consulta;Prazo;5 a 10 dias;24.03;;;;;;10;MDH3D-0009;;SIM;NÃO;<p><strong>Família Customizada em Miniatura</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Presentes Personalizados</strong>, feito em PLA Premium com acabamento pintado à mão. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 5 a 10 dias. <strong>Personalização:</strong> Sim. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, familia,miniatura,personalizado,presente;Família Customizada em Miniatura | Impressão 3D MDH3D;Família Customizada em Miniatura em impressão 3D pela MDH3D. Produto físico sob encomenda em Presentes Personalizados, com produção local no RJ e prazo de 5 a 10 dias.;MDH3D;SIM;MDH3D-0009;;;
mini-presente-personalizavel-slim-para-kit-promocional;Mini Presente Personalizável Slim para kit promocional;Lotes e Brindes Corporativos;Material;PLA Premium;Cor;Sob consulta;Prazo;3 a 5 dias;6.58;;;;;;10;MDH3D-0010;;SIM;NÃO;<p><strong>Mini Presente Personalizável Slim para kit promocional</strong> produzido pela MDH3D em impressão 3D, com produção local no Rio de Janeiro.</p><p>Produto da categoria <strong>Lotes e Brindes Corporativos</strong>, feito em PLA Premium com acabamento premium. Indicado para presente, organização, decoração, setup ou uso funcional, conforme o modelo.</p><p><strong>Prazo de produção:</strong> 3 a 5 dias. <strong>Personalização:</strong> Consultar. Confirme cor, escala, acabamento e urgência pelo WhatsApp antes de fechar pedidos personalizados.</p><p>Produto físico sob encomenda. Frete e prazo final são confirmados no checkout ou no atendimento da MDH3D.</p>;MDH3D, impressão 3D, PLA Premium, produção local RJ, brinde,lote,eventos,personalizavel;Mini Presente Personalizável Slim para kit promocional | Impressão 3D MDH3D;Mini Presente Personalizável Slim para kit promocional em impressão 3D pela MDH3D. Produto físico sob encomenda em Lotes e Brindes Corporativos, com produção local no RJ e prazo de 3 a 5 dias.;MDH3D;SIM;MDH3D-0010;;;
