sku,title_pt,category,subcategory,description_pt_2lines,price_low_brl,price_median_brl,price_high_brl,margin_pct_suggested,tags_pt,photo_url_1,photo_url_2,photo_url_3,thumbnail_url,source_product_link,source_marketplace_hint,source_lang,shipping_weight_g,shipping_length_cm,shipping_width_cm,shipping_height_cm,compatibility_notes,cross_sell_sku_1,cross_sell_sku_2,pricing_strategy_notes
UTI-001,"Kit Ferramenta Gamer Jett Valorant Organizador Utilitário para Mesa, Cabos e Setup",Utilitários/Ferramentas,Organização/mesa,Utilitário com estética nerd para organização do setup e uso diário. Une funcionalidade com forte identidade visual gamer.,37.4,72.9,133.65,58,"utilitário,organização,valorant,setup,cabos",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,280,22,16,7,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,UTI-002,COL-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
UTI-002,"Porta Ferramentas Reyna Valorant para Mesa Gamer, Oficina Criativa e Home Office",Utilitários/Ferramentas,Porta-ferramentas,"Peça funcional para organizar pequenos itens, acessórios e ferramentas leves. Ótima para público geek que valoriza utilidade com estilo.",39.9,75.9,137.4,58,"porta ferramentas,valorant,home office,geek,mesa",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,280,22,16,7,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,UTI-003,COL-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
UTI-003,"Suporte Multiuso Sage Valorant para Headset, Controle, Cabos e Acessórios",Utilitários/Ferramentas,Suporte multiuso,Suporte utilitário com excelente potencial para setup gamer e organização doméstica. Fácil de vender em kit com mousepad ou luminária.,42.4,78.9,141.15,58,"suporte,valorant,headset,controle,setup",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,280,22,16,7,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,UTI-004,COL-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
UTI-004,"Organizador Modular Omen Valorant para Ferramentas Leves, Peças e Acessórios Nerd",Utilitários/Ferramentas,Organizador modular,"Organizador versátil para mesa, bancada ou estante com identidade visual de Valorant. Produto comercial com boa aceitação e recompra por coleção.",44.9,81.9,144.9,58,"organizador,valorant,ferramentas,mesa,utilitário",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,280,22,16,7,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,UTI-001,COL-001,Exibir preço PIX + bundle com 2 unidades ou kit presente.
UTI-005,"Kit Ferramenta Gamer Ahri League of Legends Organizador Utilitário para Mesa, Cabos e Setup",Utilitários/Ferramentas,Organização/mesa,Utilitário com estética nerd para organização do setup e uso diário. Une funcionalidade com forte identidade visual gamer.,34.9,69.9,129.9,58,"utilitário,organização,league of legends,setup,cabos",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,280,22,16,7,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,UTI-006,COL-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
UTI-006,"Porta Ferramentas Yasuo League of Legends para Mesa Gamer, Oficina Criativa e Home Office",Utilitários/Ferramentas,Porta-ferramentas,"Peça funcional para organizar pequenos itens, acessórios e ferramentas leves. Ótima para público geek que valoriza utilidade com estilo.",37.4,72.9,133.65,58,"porta ferramentas,league of legends,home office,geek,mesa",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,280,22,16,7,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,UTI-007,COL-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
UTI-007,"Suporte Multiuso Jinx League of Legends para Headset, Controle, Cabos e Acessórios",Utilitários/Ferramentas,Suporte multiuso,Suporte utilitário com excelente potencial para setup gamer e organização doméstica. Fácil de vender em kit com mousepad ou luminária.,39.9,75.9,137.4,58,"suporte,league of legends,headset,controle,setup",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,280,22,16,7,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,UTI-008,COL-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
UTI-008,"Organizador Modular Lux League of Legends para Ferramentas Leves, Peças e Acessórios Nerd",Utilitários/Ferramentas,Organizador modular,"Organizador versátil para mesa, bancada ou estante com identidade visual de League of Legends. Produto comercial com boa aceitação e recompra por coleção.",42.4,78.9,141.15,58,"organizador,league of legends,ferramentas,mesa,utilitário",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,280,22,16,7,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,UTI-005,COL-005,Exibir preço PIX + bundle com 2 unidades ou kit presente.
UTI-009,"Kit Ferramenta Gamer Ghost Call of Duty Organizador Utilitário para Mesa, Cabos e Setup",Utilitários/Ferramentas,Organização/mesa,Utilitário com estética nerd para organização do setup e uso diário. Une funcionalidade com forte identidade visual gamer.,44.9,81.9,144.9,58,"utilitário,organização,call of duty,setup,cabos",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,280,22,16,7,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,UTI-010,COL-009,Exibir preço PIX + bundle com 2 unidades ou kit presente.
UTI-010,"Porta Ferramentas Soap Call of Duty para Mesa Gamer, Oficina Criativa e Home Office",Utilitários/Ferramentas,Porta-ferramentas,"Peça funcional para organizar pequenos itens, acessórios e ferramentas leves. Ótima para público geek que valoriza utilidade com estilo.",34.9,69.9,129.9,58,"porta ferramentas,call of duty,home office,geek,mesa",NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,NÃO VERIFICADO,Mercado Livre / Shopee / Amazon,pt-BR,280,22,16,7,Produto de apelo nerd/gamer para venda online; revisar licenciamento e arte final antes de publicar.,UTI-011,COL-009,Exibir preço PIX + bundle com 2 unidades ou kit presente.
