id,slug,name,category,material,visualKind,imageCount,isPlaceholder,semanticScore,finalScore,status,mediaStatus,reason
real-001,real-001-grinder-3-partes-premium,"Grinder 3 Partes Premium","Utilidades Reais",PLA Premium,foto-real,4,false,0.82,1,APPROVED,verified,"Real photo/render with matching semantics"
real-002,real-002-porta-creme-dental-de-bancada,"Porta Creme Dental de Bancada","Utilidades Reais",PLA Premium,foto-real,4,true,0.85,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
real-003,real-003-demogorgon-decorativo-premium,"Demogorgon Decorativo Premium","Geek & Colecionáveis",PLA Premium,foto-real,4,false,0.82,1,APPROVED,verified,"Real photo/render with matching semantics"
real-004,real-004-hello-kitty-jedi-colecionavel,"Hello Kitty Jedi Colecionável","Geek & Colecionáveis",PLA Premium,foto-real,4,false,0.85,1,APPROVED,verified,"Real photo/render with matching semantics"
real-005,real-005-stencil-rick-and-morty-decorativo,"Stencil Rick and Morty Decorativo","Casa & Decoração",PLA Premium,foto-real,4,false,0.85,1,APPROVED,verified,"Real photo/render with matching semantics"
real-006,real-006-familia-customizada-em-miniatura,"Família Customizada em Miniatura","Presentes Criativos",PLA Premium,foto-real,4,false,0.83,1,APPROVED,verified,"Real photo/render with matching semantics"
real-007,real-007-boneca-infantil-personalizada,"Boneca Infantil Personalizada","Presentes Criativos",PLA Premium,foto-real,4,false,0.82,1,APPROVED,verified,"Real photo/render with matching semantics"
real-008,real-008-case-de-isqueiro-caveira,"Case de Isqueiro Caveira","Utilidades Reais",PLA Premium,foto-real,4,false,0.83,1,APPROVED,verified,"Real photo/render with matching semantics"
real-009,real-009-homer-pikachu-mashup-colecionavel,"Homer Pikachu Mashup Colecionável","Geek & Colecionáveis",PLA Premium,foto-real,4,false,0.85,1,APPROVED,verified,"Real photo/render with matching semantics"
real-010,real-010-medalha-maconica-personalizada,"Medalha Maçônica Personalizada","Presentes Criativos",PLA Premium,foto-real,4,false,0.82,1,APPROVED,verified,"Real photo/render with matching semantics"
mdh-001,mdh-001-hello-kitty-chibi-premium,"Hello Kitty Chibi Premium","Geek & Colecionáveis",PLA Silk,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-002,mdh-002-mascote-kawaii-desk-buddy,"Mascote Kawaii Desk Buddy","Geek & Colecionáveis",PLA Premium,imagem-conceitual,4,true,0.85,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-003,mdh-003-monstro-eletrico-pocket-mini,"Monstro Elétrico Pocket Mini","Geek & Colecionáveis",PLA Premium,imagem-conceitual,4,true,0.85,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-004,mdh-004-espia-mirim-chibi,"Espiã Mirim Chibi","Geek & Colecionáveis",PLA Silk,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-005,mdh-005-mascote-serra-articulado,"Mascote Serra Articulado","Geek & Colecionáveis",PLA Premium,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-006,mdh-006-tripulante-crewmate-neon,"Tripulante Crewmate Neon","Geek & Colecionáveis",PLA Premium,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-007,mdh-007-esfera-monstro-de-bolso,"Esfera Monstro de Bolso","Geek & Colecionáveis",PLA Premium,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-008,mdh-008-pokemon-pikachu-mini,"Pokémon Pikachu Mini","Geek & Colecionáveis",PLA Premium,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-009,mdh-009-spy-x-family-anya-chibi,"Spy x Family Anya Chibi","Geek & Colecionáveis",PLA Silk,imagem-conceitual,4,true,0.85,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-010,mdh-010-chainsaw-man-pochita,"Chainsaw Man Pochita","Geek & Colecionáveis",PLA Premium,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-011,mdh-011-minecraft-steve-figurine,"Minecraft Steve Figurine","Geek & Colecionáveis",PLA Premium,imagem-conceitual,4,true,0.83,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-012,mdh-012-creeper-minecraft,"Creeper Minecraft","Geek & Colecionáveis",PLA Premium,imagem-conceitual,4,true,0.82,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-013,mdh-013-suporte-para-fone-headphone,"Suporte para Fone Headphone","Setup & Organização",PLA Premium,imagem-conceitual,4,true,0.91,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-014,mdh-014-organizador-de-cabos,"Organizador de Cabos","Setup & Organização",PLA Premium,imagem-conceitual,4,true,0.9,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-015,mdh-015-suporte-para-celular,"Suporte para Celular","Setup & Organização",PLA Premium,imagem-conceitual,4,true,0.9,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
mdh-016,mdh-016-chaveiro-personalizado,"Chaveiro Personalizado","Setup & Organização",PLA Premium,foto-real,4,true,0.89,0,BLOCKED,placeholder,"All 4 images are placeholder text cards (uniform_size_text_card)"
