slug,title,pixPriceBrl,listPriceBrl,installmentCount,installmentPriceBrl,pricingSource
csv-cha-001-chaveiro-acrilico-premium-jett-valorant-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrilico Premium Jett Valorant Dupla Face Para Mochila Chaves E Setup Gamer",40.9,48.9,12,4.08,marketfit-popular-heuristic
csv-cha-002-chaveiro-emborrachado-reyna-valorant-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado Reyna Valorant Estilo Gamer Resistente Para Chaves E Mochila",38.9,46.9,12,3.91,marketfit-popular-heuristic
csv-cha-003-chaveiro-metalizado-sage-valorant-edicao-nerd-para-colecao-e-presente-criativo,"Chaveiro Metalizado Sage Valorant Edicao Nerd Para Colecao E Presente Criativo",46.9,55.9,12,4.66,marketfit-popular-heuristic
csv-cha-004-chaveiro-3d-omen-valorant-mini-pingente-decorativo-para-mochila-e-setup,"Chaveiro 3D Omen Valorant Mini Pingente Decorativo Para Mochila E Setup",26.9,34.9,12,2.91,marketfit-popular-heuristic
csv-cha-005-chaveiro-acrilico-premium-ahri-league-of-legends-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrilico Premium Ahri League OF Legends Dupla Face Para Mochila Chaves E Setup Gamer",40.9,48.9,12,4.08,marketfit-popular-heuristic
csv-cha-006-chaveiro-emborrachado-yasuo-league-of-legends-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado Yasuo League OF Legends Estilo Gamer Resistente Para Chaves E Mochila",38.9,46.9,12,3.91,marketfit-popular-heuristic
csv-cha-007-chaveiro-metalizado-jinx-league-of-legends-edicao-nerd-para-colecao-e-presente-criativo,"Chaveiro Metalizado Jinx League OF Legends Edicao Nerd Para Colecao E Presente Criativo",46.9,55.9,12,4.66,marketfit-popular-heuristic
csv-cha-008-chaveiro-3d-lux-league-of-legends-mini-pingente-decorativo-para-mochila-e-setup,"Chaveiro 3D LUX League OF Legends Mini Pingente Decorativo Para Mochila E Setup",26.9,34.9,12,2.91,marketfit-popular-heuristic
csv-cha-009-chaveiro-acrilico-premium-ghost-call-of-duty-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrilico Premium Ghost Call OF Duty Dupla Face Para Mochila Chaves E Setup Gamer",32.9,40.9,12,3.41,marketfit-popular-heuristic
csv-cha-010-chaveiro-emborrachado-soap-call-of-duty-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado Soap Call OF Duty Estilo Gamer Resistente Para Chaves E Mochila",30.9,38.9,12,3.24,marketfit-popular-heuristic
csv-cha-011-chaveiro-metalizado-task-force-call-of-duty-edicao-nerd-para-colecao-e-presente-criativo,"Chaveiro Metalizado Task Force Call OF Duty Edicao Nerd Para Colecao E Presente Criativo",38.9,46.9,12,3.91,marketfit-popular-heuristic
csv-cha-012-chaveiro-3d-warzone-call-of-duty-mini-pingente-decorativo-para-mochila-e-setup,"Chaveiro 3D Warzone Call OF Duty Mini Pingente Decorativo Para Mochila E Setup",18.9,26.9,12,2.24,marketfit-popular-heuristic
csv-cha-013-chaveiro-acrilico-premium-creeper-minecraft-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrilico Premium Creeper Minecraft Dupla Face Para Mochila Chaves E Setup Gamer",38.9,46.9,12,3.91,marketfit-popular-heuristic
csv-cha-014-chaveiro-emborrachado-steve-minecraft-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado Steve Minecraft Estilo Gamer Resistente Para Chaves E Mochila",36.9,44.9,12,3.74,marketfit-popular-heuristic
csv-cha-015-chaveiro-metalizado-alex-minecraft-edicao-nerd-para-colecao-e-presente-criativo,"Chaveiro Metalizado Alex Minecraft Edicao Nerd Para Colecao E Presente Criativo",44.9,52.9,12,4.41,marketfit-popular-heuristic
csv-cha-016-chaveiro-3d-enderman-minecraft-mini-pingente-decorativo-para-mochila-e-setup,"Chaveiro 3D Enderman Minecraft Mini Pingente Decorativo Para Mochila E Setup",24.9,32.9,12,2.74,marketfit-popular-heuristic
csv-cha-017-chaveiro-acrilico-premium-lhama-fortnite-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrilico Premium Lhama Fortnite Dupla Face Para Mochila Chaves E Setup Gamer",40.9,48.9,12,4.08,marketfit-popular-heuristic
csv-cha-018-chaveiro-emborrachado-battle-royale-fortnite-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado Battle Royale Fortnite Estilo Gamer Resistente Para Chaves E Mochila",38.9,46.9,12,3.91,marketfit-popular-heuristic
csv-cha-019-chaveiro-metalizado-victory-crown-fortnite-edicao-nerd-para-colecao-e-presente-criativo,"Chaveiro Metalizado Victory Crown Fortnite Edicao Nerd Para Colecao E Presente Criativo",46.9,55.9,12,4.66,marketfit-popular-heuristic
csv-cha-020-chaveiro-3d-peely-fortnite-mini-pingente-decorativo-para-mochila-e-setup,"Chaveiro 3D Peely Fortnite Mini Pingente Decorativo Para Mochila E Setup",26.9,34.9,12,2.91,marketfit-popular-heuristic
csv-cha-021-chaveiro-acrilico-premium-awp-cs2-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrilico Premium AWP CS2 Dupla Face Para Mochila Chaves E Setup Gamer",40.9,48.9,12,4.08,marketfit-popular-heuristic
csv-cha-022-chaveiro-emborrachado-ak-47-cs2-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado AK 47 CS2 Estilo Gamer Resistente Para Chaves E Mochila",38.9,46.9,12,3.91,marketfit-popular-heuristic
csv-cha-023-chaveiro-metalizado-knife-cs2-edicao-nerd-para-colecao-e-presente-criativo,"Chaveiro Metalizado Knife CS2 Edicao Nerd Para Colecao E Presente Criativo",46.9,55.9,12,4.66,marketfit-popular-heuristic
csv-cha-024-chaveiro-3d-defuse-cs2-mini-pingente-decorativo-para-mochila-e-setup,"Chaveiro 3D Defuse CS2 Mini Pingente Decorativo Para Mochila E Setup",26.9,34.9,12,2.91,marketfit-popular-heuristic
csv-cha-025-chaveiro-acrilico-premium-los-santos-gta-v-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrilico Premium LOS Santos GTA V Dupla Face Para Mochila Chaves E Setup Gamer",40.9,48.9,12,4.08,marketfit-popular-heuristic
csv-cha-026-chaveiro-emborrachado-franklin-gta-v-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado Franklin GTA V Estilo Gamer Resistente Para Chaves E Mochila",38.9,46.9,12,3.91,marketfit-popular-heuristic
csv-cha-027-chaveiro-metalizado-trevor-gta-v-edicao-nerd-para-colecao-e-presente-criativo,"Chaveiro Metalizado Trevor GTA V Edicao Nerd Para Colecao E Presente Criativo",46.9,55.9,12,4.66,marketfit-popular-heuristic
csv-cha-028-chaveiro-3d-michael-gta-v-mini-pingente-decorativo-para-mochila-e-setup,"Chaveiro 3D Michael GTA V Mini Pingente Decorativo Para Mochila E Setup",26.9,34.9,12,2.91,marketfit-popular-heuristic
csv-cha-029-chaveiro-acrilico-premium-spider-man-marvel-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrilico Premium Spider MAN Marvel Dupla Face Para Mochila Chaves E Setup Gamer",40.9,48.9,12,4.08,marketfit-popular-heuristic
csv-cha-030-chaveiro-emborrachado-iron-man-marvel-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado Iron MAN Marvel Estilo Gamer Resistente Para Chaves E Mochila",38.9,46.9,12,3.91,marketfit-popular-heuristic
csv-cha-031-chaveiro-metalizado-deadpool-marvel-edicao-nerd-para-colecao-e-presente-criativo,"Chaveiro Metalizado Deadpool Marvel Edicao Nerd Para Colecao E Presente Criativo",46.9,55.9,12,4.66,marketfit-popular-heuristic
csv-cha-032-chaveiro-3d-groot-marvel-mini-pingente-decorativo-para-mochila-e-setup,"Chaveiro 3D Groot Marvel Mini Pingente Decorativo Para Mochila E Setup",26.9,34.9,12,2.91,marketfit-popular-heuristic
csv-cha-033-chaveiro-acrilico-premium-darth-vader-star-wars-dupla-face-para-mochila-chaves-e-setup-gamer,"Chaveiro Acrilico Premium Darth Vader Star Wars Dupla Face Para Mochila Chaves E Setup Gamer",40.9,48.9,12,4.08,marketfit-popular-heuristic
csv-cha-034-chaveiro-emborrachado-stormtrooper-star-wars-estilo-gamer-resistente-para-chaves-e-mochila,"Chaveiro Emborrachado Stormtrooper Star Wars Estilo Gamer Resistente Para Chaves E Mochila",38.9,46.9,12,3.91,marketfit-popular-heuristic
